ElapsedTime,SOC,BatteryVoltage,InSun
2950.00,1.0000,25.1999,1
2960.00,0.9999,25.1998,1
2970.00,0.9998,25.1995,1
2980.00,0.9997,25.1992,1
2990.00,0.9995,25.1987,1
3000.00,0.9993,25.1982,1
3010.00,0.9991,25.1978,1
3020.00,0.9989,25.1974,1
3030.00,0.9988,25.1972,1
3040.00,0.9988,25.1970,1
3050.00,0.9987,25.1970,1
3060.00,0.9987,25.1970,1
3070.00,0.9988,25.1971,1
3080.00,0.9989,25.1973,1
3090.00,0.9990,25.1976,1
3100.00,0.9992,25.1981,1
3110.00,0.9994,25.1986,1
3120.00,0.9996,25.1991,1
3130.00,0.9999,25.1998,1
3140.00,1.0000,25.2000,1
3150.00,1.0000,25.2000,1
3160.00,1.0000,25.2000,1
3170.00,1.0000,25.2000,1
3180.00,1.0000,25.2000,1
3190.00,1.0000,25.2000,1
3200.00,1.0000,25.2000,1
3210.00,1.0000,25.2000,1
3220.00,1.0000,25.2000,1
3230.00,1.0000,25.2000,1
3240.00,1.0000,25.2000,1
3250.00,1.0000,25.2000,1
3260.00,1.0000,25.2000,1
3270.00,1.0000,25.2000,1
3280.00,1.0000,25.2000,1
3290.00,1.0000,25.2000,1
3300.00,1.0000,25.2000,1
3310.00,1.0000,25.2000,1
3320.00,1.0000,25.2000,1
3330.00,1.0000,25.2000,1
3340.00,1.0000,25.2000,1
3350.00,1.0000,25.2000,1
3360.00,1.0000,25.2000,1
3370.00,1.0000,25.2000,1
3380.00,1.0000,25.2000,1
3390.00,1.0000,25.2000,1
3400.00,1.0000,25.2000,1
3410.00,1.0000,25.2000,1
3420.00,1.0000,25.2000,1
3430.00,1.0000,25.2000,1
3440.00,1.0000,25.2000,1
3450.00,1.0000,25.2000,1
3460.00,1.0000,25.2000,1
3470.00,1.0000,25.2000,1
3480.00,1.0000,25.2000,1
3490.00,1.0000,25.2000,1
3500.00,1.0000,25.2000,1
3510.00,1.0000,25.2000,1
3520.00,1.0000,25.2000,1
3530.00,1.0000,25.2000,1
3540.00,1.0000,25.2000,1
3550.00,1.0000,25.2000,1
3560.00,1.0000,25.2000,1
3570.00,1.0000,25.2000,1
3580.00,1.0000,25.2000,1
3590.00,1.0000,25.2000,1
3600.00,1.0000,25.2000,1
3610.00,1.0000,25.2000,1
3620.00,1.0000,25.2000,1
3630.00,1.0000,25.2000,1
3640.00,1.0000,25.2000,1
3650.00,1.0000,25.2000,1
3660.00,1.0000,25.2000,1
3670.00,1.0000,25.2000,1
3680.00,1.0000,25.2000,1
3690.00,1.0000,25.2000,1
3700.00,1.0000,25.2000,1
3710.00,1.0000,25.2000,1
3720.00,1.0000,25.2000,1
3730.00,1.0000,25.2000,1
3740.00,1.0000,25.2000,1
3750.00,1.0000,25.2000,1
3760.00,1.0000,25.2000,1
3770.00,1.0000,25.2000,1
3780.00,1.0000,25.2000,1
3790.00,1.0000,25.2000,1
3800.00,1.0000,25.2000,1
3810.00,1.0000,25.2000,1
3820.00,1.0000,25.2000,1
3830.00,1.0000,25.2000,1
3840.00,1.0000,25.2000,1
3850.00,1.0000,25.2000,1
3860.00,1.0000,25.2000,1
3870.00,1.0000,25.2000,1
3880.00,1.0000,25.2000,1
3890.00,1.0000,25.2000,1
3900.00,1.0000,25.2000,1
3910.00,1.0000,25.2000,1
3920.00,1.0000,25.2000,1
3930.00,1.0000,25.2000,1
3940.00,1.0000,25.2000,1
3950.00,1.0000,25.2000,1
3960.00,1.0000,25.2000,1
3970.00,1.0000,25.2000,1
3980.00,1.0000,25.2000,1
3990.00,1.0000,25.2000,1
4000.00,1.0000,25.2000,1
4010.00,1.0000,25.2000,1
4020.00,1.0000,25.2000,1
4030.00,1.0000,25.2000,1
4040.00,1.0000,25.2000,1
4050.00,1.0000,25.2000,1
4060.00,1.0000,25.2000,1
4070.00,1.0000,25.2000,1
4080.00,1.0000,25.2000,1
4090.00,1.0000,25.2000,1
4100.00,1.0000,25.2000,1
